번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
1,0101.21.1000,말(번식용/농가사육용),Horses : Pure-bred breeding animals (For farm breeding),0,0,6.4 (IS 4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0101.21.9000,말(번식용/기타),Horses : Pure-bred breeding animals (Other),0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,6.4
3,0101.29.1000,말(기타/경주말),Horses : Other (Horses for racing),0,0,0(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,6.4
4,0101.29.9000,말(기타/기타),Horses : Other (Other),0,0,4(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,6.4
5,0101.30.0000,당나귀,Asses,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,
6,0101.90.0000,기타(기타),Other,0,0,4(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,6.4
7,0102.21.1000,축우(번식용/젖소),Cattle : Pure-bred breeding animals (For milk),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0102.21.2000,축우(번식용/육우),Cattle : Pure-bred breeding animals (For meat),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0102.21.9000,축우(번식용/기타),Cattle : Pure-bred breeding animals (Other),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0102.29.1000,축우(기타/젖소),Cattle : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,0
11,0102.29.2000,축우(기타/육우),Cattle : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
12,0102.29.9000,축우(기타/기타),Cattle : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0102.31.0000,버팔로(번식용),Buffalo : Pure-bred breeding animals,0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0102.39.1000,버팔로(기타/젖소),Buffalo : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,40
15,0102.39.2000,버팔로(기타/육우),Buffalo : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,40
16,0102.39.9000,버팔로(기타/기타),Buffalo : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0102.90.1000,기타(번식용),Other (Pure-bred breeding animals),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0102.90.9010,기타(기타/젖소),Other : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,40
19,0102.90.9020,기타(기타/육우),Other : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,40
20,0102.90.9090,기타(기타/기타),Other : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0103.10.0000,돼지(번식용),Swine : Pure-bred breeding animals,0,0,0(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0103.91.0000,돼지(기타/중량 50㎏ 미만),Swine : Other (Weighing less than 50㎏),미양허,미양허,미양허,0,미양허,0,0,0,0,5.6,18,0,0,0,18,0,미양허,미양허,미양허,미양허,미양허,0,0,0,18,0,16.9,16.9,미양허,미양허,16.9,0,18
23,0103.92.0000,돼지(기타/중량 50㎏ 이상),Swine : Other (Weighing 50㎏ or more),미양허,미양허,미양허,0,미양허,0,0,0,0,5.6,18,0,0,0,18,0,미양허,미양허,미양허,미양허,미양허,0,0,0,18,0,16.9,16.9,미양허,미양허,16.9,0,18
24,0104.10.1000,면양(번식용),Sheep : Pure-bred breeding animals,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0104.10.9000,면양(기타),Sheep : Other,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
26,0104.20.1000,염소(유용),Goats : Milch goats,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
27,0104.20.9000,염소(기타),Goats : Other,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
28,0105.11.1000,닭-갈루스 도메스티쿠스 종에 한함-(185g 이하/번식용),Fowls of the species Gallus domesticus : not more than 185g (Pure-bred breeding animals),0,0,0(CH 미양허),0,0,0,0,0,0,0,0,0,1.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,4.5,0,0
29,0105.11.9000,닭-갈루스 도메스티쿠스 종에 한함-(185g 이하/기타),Fowls of the species Gallus domesticus : not more than 185g (Other),0,0,7.2 (CH 미양허),0,미양허,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,1.8,0,8.4,8.4,미양허,미양허,8.4,0,0
30,0105.12.0000,칠면조(185g 이하),Turkeys : not more than 185g,0,0,7.2 (CH 미양허),0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,1.8,0,6,6,6,6,6,0,0
31,0105.13.1000,오리(185g 이하/번식용),Ducks : not more than 185g (Pure-bred breeding animals),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0105.13.9000,오리(185g 이하/기타),Ducks : not more than 185g (Other),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,18,0,3.6,5.4,3.6,3.6,7.2,0,0,0,10.8,0,16.9,16.9,미양허,미양허,16.9,0,14.4
33,0105.14.0000,거위(185g 이하),Geese : not more than 185g,0,0,7.2(CH 미양허),0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,4.5,4.5,4.5,4.5,4.5,0,0
34,0105.15.0000,기니아새(185g 이하),Guinea fowls : not more than 185g,0,0,7.2(CH 미양허),0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,4.5,0,0
35,0105.94.1000,닭-갈루스 도메스티쿠스 종에 한함-(기타/번식용),Fowls of the species Gallus domesticus : Other (Pure-bred breeding animals),0,0,0(CH 미양허),0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2
36,0105.94.9000,닭-갈루스 도메스티쿠스 종에 한함-(기타/기타),Fowls of the species Gallus domesticus : Other (Other),0,0,7.2(CH 미양허),0,,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1.8,0,8.4,8.4,미양허,미양허,8.4,0,7.2
37,0105.99.1010,오리(기타/번식용),Ducks : Other (Pure-bred breeding animals),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0105.99.1090,오리(기타/기타),Ducks : Other (Other),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,18,0,3.6,5.4,3.6,3.6,7.2,0,0,0,10.8,0,16.9,16.9,미양허,미양허,16.9,0,14.4
39,0105.99.2000,칠면조(기타),Turkeys : Other,0,0,7.2(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,1.8,0,6,6,6,6,6,0,0
40,0105.99.9000,기타(기타),Other : Other,0,0,7.2(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,4.5,4.5,0,0,0
41,0106.11.0000,영장류,Primates,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
42,0106.13.0000,낙타 및 기타 낙타과의 동물(카멜리대과),Camels and other camelids (Camelidae),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,6.4
43,0106.14.1000,토끼(번식용),Rabbits and hares : Pure-bred breeding animals,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0106.14.9000,토끼(기타),Rabbits and hares : Other,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,6.4
45,0106.19.1000,개,Dogs,0,0,6.4(CH 미양허),0,4,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,미양허,5.3,5.3,0,6.4
46,0106.19.3000,사슴,Deer,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,6.4
47,0106.19.4000,곰,Bears,0,0,미양허(IS 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,4,4,0,0,0
48,0106.19.5010,여우(번식용),Fox (Pure-bred breeding animals),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0106.19.5090,여우(기타),Fox (Other),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
50,0106.19.6010,밍크(번식용),Mink (Pure-bred breeding animals),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0106.19.6090,밍크(기타),Mink (Other),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,6.4
52,0106.19.9000,포유류(기타),Other (Mammalia),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,6.4
53,0106.20.1000,뱀,Snakes,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
54,0106.20.3000,거북,Turtles,0,0,미양허(IS 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
55,0106.20.9000,파충류(기타),Other (Reptiles),0,0,미양허(IS 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
56,0106.31.0000,맹금류,Birds of prey,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,6.4
57,0106.32.0000,"앵무류(패럿류, 패러키트류, 금강앵무류, 유황앵무류 포함)","Psittaciformes (Including parrots, parakeets, macaws and cockatoos)",0,0,미양허(IS 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,6.4
58,0106.33.0000,타조 및 에뮤(드로마이어스 노배홀란디애),Ostriches/emus (Dromaius novaehollandiae),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,4,4,0,0,0
59,0106.39.0000,조류(꿩 등 기타),Other (Birds),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0
60,0106.41.0000,벌,Bees,0,0,6.4(CH 미양허),0,0,0,0,0,0,0,,0,,0,8,0,0,0,0,0,0,0,0,0,1.6,0,7.5,7.5,미양허,미양허,7.5,0,
61,0106.49.0000,기타(곤충류),Other (Insects),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,미양허,미양허,7.5,0,0
62,0106.90.1000,양서류,Amphibia,0,0,미양허(IS 6.4),0,0,0,0,0,0,0,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,4,4,0,0,0
63,0106.90.3090,"환형동물(갯지렁이, 실지렁이 이외 기타)",Annelida (Other),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,0
64,0106.90.9000,살아있는 동물(기타),Other live animals (Other),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,4,4,0,0,6.4
65,0201.10.0000,쇠고기(신선/냉장/도체와 이분도체),"Meat of bovine, fresh or chilled (Carcasses and half-carcasses)",미양허,미양허,미양허,32,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",32,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
66,0201.20.1000,쇠고기(신선/냉장/기타/뼈채 절단한 것/갈비),"Meat of bovine, fresh or chilled (Other cuts with bone in/short ribs)",0(*200M/T) TRQ,미양허,미양허,32,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",32,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
67,0201.20.9000,쇠고기(신선/냉장/기타/뼈채 절단한 것/기타),"Meat of bovine, fresh or chilled (Other cuts with bone in/other)",0(*200M/T) TRQ,미양허,미양허,32,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",32,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
68,0201.30.0000,쇠고기(신선/냉장/뼈 없는 것),"Meat of bovine, fresh or chilled (Boneless)",미양허,미양허,미양허,32,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG","16.8/30(12,068M/T) ASG",40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",32,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,23.1,27.3,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
69,0202.10.0000,쇠고기(냉동/도체와 이분도체),"Meat of bovine, frozen (Carcasses and half-carcasses)",미양허,미양허,미양허,32,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,40,"5.3/24(196,050M/T)  ASG",32,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
70,0202.20.1000,쇠고기(냉동/기타/뼈채 절단/갈비),"Meat of bovine, frozen (Other cuts with bone in/short ribs)",0(*200M/T) TRQ,미양허,미양허,미양허,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",40,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,40,미양허,미양허,미양허,미양허,미양허,미양허,0
71,0202.20.9000,쇠고기(냉동/기타/뼈채 절단 기타),"Meat of bovine, frozen (Other cuts with bone in/other)",0(*200M/T) TRQ,미양허,미양허,미양허,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG",40,40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",40,40,"8/24(46,005M/T)  ASG",미양허,미양허,미양허,미양허,미양허,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,40,미양허,미양허,미양허,미양허,미양허,미양허,0
72,0202.30.0000,쇠고기(냉동/뼈 없는 것),"Meat of bovine, frozen (Boneless)",미양허,미양허,미양허,미양허,미양허,"2.5/24(12,806M/T) ASG","0/24(13,062M/T) ASG",40,"0/24(354,000M/T)  ASG","16.8/30(12,068M/T) ASG",40,"8/24(24,596M/T) ASG","5.3/24(196,050M/T)  ASG",40,40,"8/24(46,005M/T)  ASG",23.1,미양허,미양허,23.1,27.3,2.5/24(526M/T) ASG,0/24(537M/T) ASG,미양허,40,40,미양허,미양허,미양허,미양허,미양허,미양허,0
73,0203.11.0000,돼지고기(냉장/도체와 이분도체),"Meat of swine, fresh or chilled (Carcasses and half-carcasses)",0,미양허,미양허,18,미양허,0,0,0,0,22.5,22.5,0,0,18,22.5,22.5,미양허,미양허,미양허,미양허,미양허,0,0,미양허,22.5,18,미양허,미양허,미양허,미양허,미양허,미양허,22.5
74,0203.12.0000,돼지고기(냉장/넓적다리·어깨살과 이들을 절단한 것/뼈 있는 것),"Meat of swine, fresh or chilled (Hams, shoulders and cuts thereof/with bone in)",0,미양허,미양허,18,미양허,0,0,0,0,22.5,22.5,0,0,18,22.5,22.5,미양허,미양허,미양허,미양허,미양허,0,0,미양허,22.5,18,미양허,미양허,미양허,미양허,미양허,미양허,22.5
75,0203.19.1000,돼지고기(냉장/삼겹살),"Meat of swine, fresh or chilled (Other/streaky pork)",0,미양허,미양허,미양허,미양허,0,0,0,0,22.5,22.5,"1.7/10.1(10,496M/T) ASG",0,22.5,22.5,22.5,미양허,미양허,미양허,미양허,미양허,0,0,미양허,22.5,22.5,미양허,미양허,미양허,미양허,미양허,미양허,22.5
76,0203.19.9000,돼지고기(냉장/기타),"Meat of swine, fresh or chilled (Other/other)",0,미양허,미양허,미양허,미양허,0,0,0,0,22.5,22.5,"1.7/10.1(10,496M/T) ASG",3,22.5,22.5,22.5,미양허,미양허,미양허,미양허,미양허,0,0,미양허,22.5,22.5,미양허,미양허,미양허,미양허,미양허,미양허,22.5
77,0203.21.0000,돼지고기(냉동/도체와 이분도체),"Meat of swine, frozen (Carcasses and half-carcasses)",미양허,미양허,미양허,20,미양허,0,0,0,0,25,25,0,25,20,25,25,미양허,미양허,미양허,미양허,미양허,0,0,미양허,25,20,미양허,미양허,미양허,미양허,미양허,미양허,25
78,0203.22.0000,돼지고기(냉동/넓적다리살·어깨살과 이들을 절단한 것/뼈 있는 것),"Meat of swine, frozen (Hams, shoulders and cuts thereof/with bone in)",0,미양허,미양허,20,미양허,0,0,0,0,0,25,0,25,20,25,25,5,14,12.5,12.5,10,0,0,미양허,25,20,미양허,미양허,미양허,미양허,미양허,미양허,25
79,0203.29.1000,돼지고기(냉동/삼겹살),"Meat of swine, frozen (Other/streaky pork)",0,미양허,미양허,미양허,미양허,0,0,0,0,7.8,25,1.9/11.3(839M/T) ASG,25,0,25,25,12.5,미양허,미양허,미양허,15.6,0,0,미양허,25,12.5,미양허,미양허,미양허,미양허,미양허,미양허,25
80,0203.29.9000,돼지고기(냉동/기타),"Meat of swine, frozen (Other/other)",0,미양허,미양허,미양허,미양허,0,0,0,0,0,25,0,0,0,25,25,5,14,12.5,12.5,10,0,0,미양허,25,12.5,미양허,미양허,미양허,미양허,미양허,미양허,25
81,0204.10.0000,어린면양(냉장/도체와 이분도체),"Meat of Lamb, fresh or chilled (Carcasses and half-carcasses)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,11.3,0,0,0,0,0,0,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
82,0204.21.0000,면양기타(냉장/도체와 이분도체),"Other meat of sheep, fresh or chilled (Carcasses and half-carcasses)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,11.3,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
83,0204.22.0000,면양기타(냉장/기타/뼈채로 절단),"Other meat of sheep, fresh or chilled (Other cuts with bone in)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,11.3,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
84,0204.23.0000,면양기타(냉장/뼈 없는 것),"Other meat of sheep, fresh or chilled (Boneless)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,11.3,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
85,0204.30.0000,어린면양(냉동/도체와 이분도체),"Meat of Lamb, frozen (Carcasses and half-carcasses)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,미양허,0,0,0,0,0,22.5,0,0,0,22.5,0,0,0,0,0,0,0,0,0,4.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
86,0204.41.0000,면양(기타/냉동/도체와 이분도체),"Other meat of sheep, frozen (Carcasses and half-carcasses)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,미양허,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
87,0204.42.0000,면양(기타/냉동/뼈채로 절단한 것),"Other meat of sheep, frozen (Other cuts with bone in)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,미양허,0,0,0,0,0,22.5,0,0,0,22.5,0,0,0,0,0,0,0,0,0,4.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
88,0204.43.0000,면양(기타/냉동/뼈 없는 것),"Other meat of sheep, frozen (Boneless)",0,0,(CH 미양허)(NO 11.3)(IS 0),0,미양허,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
89,0204.50.0000,염소의 고기,Meat of goats,0,0,20.3(CH 미양허),0,미양허,0,0,0,0,0,22.5,0,0,0,22.5,0,4.5,6.7,4.5,4.5,9,0,0,0,13.5,0,21.1,21.1,미양허,미양허,21.1,0,20.2
90,0205.00.0000,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen ",미양허,0,미양허(IS 21.6),0,13.5,0,0,0,0,0,27,0,3.6,0,10.8,5.4,5.4,8.1,5.4,5.4,10.8,0,0,0,16.2,0,18,18,미양허,18,18,0,24.3
91,0206.10.0000,소 식용설육(신선/냉장),"Edible offal of bovine, fresh or chilled",0,미양허,미양허,5,미양허,1.1,0,0,0,18,18,0,2.4,0,18,3.6,미양허,미양허,미양허,9,미양허,1.1,0,5,18,3.3,18,18,미양허,미양허,18,미양허,16.2
92,0206.21.0000,소 식용설육(혀/냉동),"Edible offal of bovine, frozen (Tongues)",0,미양허,미양허,5,미양허,1.1,0,0,0,18,18,0,2.4,0,18,3.6,9,미양허,미양허,9,미양허,1.1,0,5,18,0,18,18,미양허,미양허,18,미양허,0
93,0206.22.0000,소 식용설육(간/냉동),"Edible offal of bovine, frozen (Livers)",0,미양허,미양허,5,미양허,1.1,0,0,0,18,18,0,2.4,0,18,3.6,9,미양허,미양허,9,미양허,1.1,0,5,18,0,18,18,미양허,미양허,18,미양허,0
94,0206.29.1000,소 식용설육(꼬리/냉동),"Edible offal of bovine, frozen (Other/tails)",0,미양허,미양허,14.4,미양허,1.1,0,0,0,7.5,18,0,2.4,14.4,18,3.6,9,미양허,미양허,9,미양허,1.1,0,미양허,18,14.4,미양허,미양허,미양허,미양허,미양허,미양허,0
95,0206.29.2000,소 식용설육(족/냉동),"Edible offal of bovine, frozen (Other/feet)",0,미양허,미양허,14.4,미양허,1.1,0,0,0,7.5,18,0,2.4,14.4,18,3.6,미양허,미양허,미양허,9,미양허,1.1,0,미양허,18,14.4,미양허,미양허,미양허,미양허,미양허,미양허,0
96,0206.29.9000,소 식용설육(기타/냉동),"Edible offal of bovine, frozen (Other/other)",0,미양허,미양허,14.4,미양허,1.1,0,0,0,7.5,18,0,2.4,14.4,18,3.6,미양허,미양허,미양허,9,미양허,1.1,0,미양허,18,9.6,13.5,13.5,미양허,미양허,미양허,미양허,0
97,0206.30.0000,돼지 식용설육(신선/냉장),"Edible offal of swine, fresh or chilled",0,미양허,미양허,14.4,미양허,0,0,0,0,5.6,18,0,0,14.4,18,6,미양허,미양허,미양허,9,미양허,0,0,미양허,18,14.4,미양허,미양허,미양허,미양허,미양허,미양허,18
